ID,Project Code,PQ #,PO / SO #,ASN/DN #,Country,Managed By,Fulfill Via,Vendor INCO Term,Shipment Mode,PQ First Sent to Client Date,PO Sent to Vendor Date,Scheduled Delivery Date,Delivered to Client Date,Delivery Recorded Date,Product Group,Sub Classification,Item Description,Molecule/Test Type,Dosage,Dosage Form,Unit of Measure (Per Pack),Line Item Quantity,Line Item Value,Pack Price,Unit Price,First Line Designation,Weight (Kilograms),Freight Cost (USD),Line Item Insurance (USD)
4647,117-ET-T01,Pre-PQ Process,SCMS-28690,ASN-2839,Ethiopia,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,8/22/2008,17-Nov-08,17-Nov-08,17-Nov-08,HRDT,HIV test,"HIV 1/2, SKB Colloidal Gold, Diagnostic Kit, Antibody, 50 Tests","HIV 1/2, Colloidal Gold, Diagnostic Kit, Antibody",,Test kit,1,7002,161046.0,23.0,23.0,Yes,4922,46117.09,315.65
4648,117-ET-T01,Pre-PQ Process,SCMS-28700,ASN-2719,Ethiopia,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,8/22/2008,30-Oct-08,28-Oct-08,28-Oct-08,HRDT,HIV test,"HIV 1/2, SKB Colloidal Gold, Diagnostic Kit, Antibody, 50 Tests","HIV 1/2, Colloidal Gold, Diagnostic Kit, Antibody",,Test kit,1,7002,161046.0,23.0,23.0,Yes,5057,44360.44,315.65
4649,117-ET-T01,Pre-PQ Process,SCMS-28720,ASN-2577,Ethiopia,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,8/22/2008,6-Oct-08,6-Oct-08,6-Oct-08,HRDT,HIV test,"HIV 1/2, SKB Colloidal Gold, Diagnostic Kit, Antibody, 50 Tests","HIV 1/2, Colloidal Gold, Diagnostic Kit, Antibody",,Test kit,1,7002,161046.0,23.0,23.0,Yes,5057,44347.71,257.67
4650,111-MZ-T01,Pre-PQ Process,SCMS-28730,ASN-2658,Mozambique,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,8/26/2008,1-Nov-08,1-Nov-08,1-Nov-08,HRDT,HIV test - Ancillary,"HIV, Lancet, Safety, for HIV Test kits, 100 Pcs","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",,Test kit - Ancillary,100,7690,76.9,0.01,0.0,Yes,2278,23743.01,0.15
4709,107-RW-T01,Pre-PQ Process,SCMS-30310,ASN-3505,Rwanda,PMO - US,Direct Drop,CIP,Air,Pre-PQ Process,10/21/2008,10-Mar-09,10-Mar-09,10-Mar-09,ARV,Adult,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Lamivudine/Zidovudine,150/300mg,Tablet - FDC,60,18560,168896.0,9.1,0.15,Yes,1698,16414.22,331.04
4722,119-NA-T01,Pre-PQ Process,SCMS-30720,ASN-2586,Namibia,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,9/19/2008,8-Oct-08,8-Oct-08,8-Oct-08,HRDT,HIV test,"HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",,Test kit,20,650,20800.0,32.0,1.6,Yes,220,7078.9,33.28
4794,110-ZM-T01,Pre-PQ Process,SCMS-33150,ASN-3308,Zambia,PMO - US,Direct Drop,CIP,Air,Pre-PQ Process,11/4/2008,20-Feb-09,20-Feb-09,20-Feb-09,ARV,Pediatric,"Didanosine 25mg [Videx], chewable tablets, 60 Tabs",Didanosine,25mg,Chewable/dispersible tablet,60,545,3815.0,7.0,0.12,Yes,Weight Captured Separately,Freight Included in Commodity Cost,7.48
4798,116-ZA-T01,Pre-PQ Process,SCMS-33320,ASN-3553,South Africa,PMO - US,Direct Drop,DDP,Truck,Pre-PQ Process,Date Not Captured,17-May-09,9-Oct-08,9-Oct-08,ARV,Pediatric,"Efavirenz 50mg [Stocrin/Sustiva], capsule, 30 Caps",Efavirenz,50mg,Capsule,30,200,592.0,2.96,0.1,No,Weight Captured Separately,Freight Included in Commodity Cost,1.16
4804,109-TZ-T01,Pre-PQ Process,SCMS-33690,ASN-3229,Tanzania,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,11/14/2008,2-Mar-09,2-Mar-09,2-Mar-09,HRDT,HIV test,"HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",,Test kit,20,1678,53696.0,32.0,1.6,Yes,554,4810.99,105.24
4818,117-ET-T01,Pre-PQ Process,SCMS-34310,ASN-3234,Ethiopia,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,11/24/2008,27-Jan-09,27-Jan-09,27-Jan-09,HRDT,HIV test - Ancillary,"Capillary Tubes, for Determine, EDTA, 50uL,100 Pcs","HIV, Capillary Tubes, for Determine, EDTA, 50uL,100 Pcs",,Test kit - Ancillary,100,10000,80000.0,8.0,0.08,Yes,400,4856.14,156.8
4824,109-TZ-T01,Pre-PQ Process,SCMS-34690,ASN-3853,Tanzania,PMO - US,Direct Drop,CIP,Air,Pre-PQ Process,12/30/2008,15-Jun-09,15-Jun-09,15-Jun-09,ARV,Adult,"Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate 600/200/300mg [Atripla], tablets, 30 Tabs",Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate,600/200/300mg,Tablet - FDC,30,24963,1258135.2,50.4,1.68,Yes,2462,3451.41,2465.94
4854,102-GY-T01,Pre-PQ Process,SCMS-35550,ASN-3190,Guyana,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,12/12/2008,30-Jan-09,23-Jan-09,23-Jan-09,HRDT,HIV test,"HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",,Test kit,100,351,25272.0,72.0,0.72,Yes,60,1097.78,49.53
4921,108-VN-T01,Pre-PQ Process,SCMS-37170,ASN-3562,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,1/16/2009,10-Apr-09,10-Apr-09,10-Apr-09,ARV,Adult,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,200mg,Tablet,60,5200,15080.0,2.9,0.05,No,See ASN-3562 (ID#:960),See ASN-3562 (ID#:960),29.56
4929,110-ZM-T01,Pre-PQ Process,SCMS-37770,ASN-3676,Zambia,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,1/27/2009,26-Mar-09,26-Mar-09,26-Mar-09,HRDT,HIV test,"HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included, 25 Tests","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included",,Test kit,25,300,6000.0,20.0,0.8,Yes,94,1205.43,11.76
4947,100-SN-T01,Pre-PQ Process,SCMS-38270,ASN-3546,Senegal,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,2/6/2009,25-Mar-09,25-Mar-09,25-Mar-09,HRDT,HIV test,"HIV 1/2, ImmunoComb TriSpot Ag - Ab Kit, 36 Tests","HIV 1/2, ImmunoComb TriSpot Ag - Ab Kit",,Test kit,36,80,6800.0,85.0,2.36,Yes,33,812,13.33
4949,109-TZ-T01,Pre-PQ Process,SCMS-38410,ASN-4381,Tanzania,PMO - US,Direct Drop,FCA,Air,Pre-PQ Process,2/5/2009,11-Aug-09,11-Aug-09,11-Aug-09,ARV,Adult,"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Lopinavir/Ritonavir,200/50mg,Tablet,120,10680,438948.0,41.1,0.34,Yes,2724,12620.12,860.34
5032,116-ZA-T01,Pre-PQ Process,SCMS-40780,ASN-3607,South Africa,PMO - US,Direct Drop,DDP,Air,Pre-PQ Process,Date Not Captured,17-Mar-09,28-Nov-08,28-Nov-08,ARV,Adult,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,600mg,Tablet,30,7000,113050.0,16.15,0.54,No,Weight Captured Separately,Freight Included in Commodity Cost,221.58
5033,116-ZA-T01,Pre-PQ Process,SCMS-40780,ASN-3607,South Africa,PMO - US,Direct Drop,DDP,Air,Pre-PQ Process,Date Not Captured,17-Mar-09,28-Nov-08,28-Nov-08,ARV,Adult,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,200mg,Tablet,60,983,4875.68,4.96,0.08,No,Weight Captured Separately,Freight Included in Commodity Cost,9.56
5034,116-ZA-T01,Pre-PQ Process,SCMS-40790,ASN-3575,South Africa,PMO - US,Direct Drop,DDP,Air,Pre-PQ Process,Date Not Captured,24-Mar-09,1-Dec-08,1-Dec-08,ARV,Adult,"Stavudine 30mg, capsules, 60 Caps",Stavudine,30mg,Capsule,60,1325,3339.0,2.52,0.04,No,Weight Captured Separately,Freight Included in Commodity Cost,6.54
5035,116-ZA-T01,Pre-PQ Process,SCMS-40810,ASN-3634,South Africa,PMO - US,Direct Drop,DDP,Air,Pre-PQ Process,Date Not Captured,31-Mar-09,2-Dec-08,2-Dec-08,ARV,Adult,"Nevirapine 200mg [Viramune], tablets, 60 Tabs",Nevirapine,200mg,Tablet,60,2880,44812.8,15.56,0.26,No,Weight Captured Separately,Freight Included in Commodity Cost,87.83
5036,116-ZA-T01,Pre-PQ Process,SCMS-40850,ASN-3611,South Africa,PMO - US,Direct Drop,DDP,Air,Pre-PQ Process,Date Not Captured,16-Jun-09,28-Jan-09,28-Jan-09,ARV,Adult,"Zidovudine 300mg, tablets, 60 Tabs",Zidovudine,300mg,Tablet,60,6800,82620.0,12.15,0.2,Yes,Weight Captured Separately,Freight Included in Commodity Cost,161.94
5037,116-ZA-T01,Pre-PQ Process,SCMS-40880,ASN-3610,South Africa,PMO - US,Direct Drop,DDP,Air,Pre-PQ Process,Date Not Captured,7-Jul-09,2-Feb-09,2-Feb-09,ARV,Adult,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,600mg,Tablet,30,3414,49810.26,14.59,0.49,Yes,Weight Captured Separately,Freight Included in Commodity Cost,97.63
5041,116-ZA-T01,Pre-PQ Process,SCMS-41040,ASN-3623,South Africa,PMO - US,Direct Drop,DDP,Air,Pre-PQ Process,Date Not Captured,7-Apr-09,3-Dec-08,3-Dec-08,ARV,Adult,"Zidovudine 300mg [Retrovir], tablets, 60 Tabs",Zidovudine,300mg,Tablet,60,5000,62750.0,12.55,0.21,No,Weight Captured Separately,Freight Included in Commodity Cost,122.99
5042,116-ZA-T01,Pre-PQ Process,SCMS-41060,ASN-3624,South Africa,PMO - US,Direct Drop,DDP,Air,Pre-PQ Process,Date Not Captured,5-May-09,23-Dec-08,23-Dec-08,ARV,Adult,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,600mg,Tablet,30,6215,102609.65,16.51,0.55,No,Weight Captured Separately,Freight Included in Commodity Cost,201.11
5043,116-ZA-T01,Pre-PQ Process,SCMS-41060,ASN-3624,South Africa,PMO - US,Direct Drop,DDP,Air,Pre-PQ Process,Date Not Captured,5-May-09,23-Dec-08,23-Dec-08,ARV,Pediatric,"Efavirenz 50mg [Stocrin/Sustiva], capsule, 30 Caps",Efavirenz,50mg,Capsule,30,3000,7470.0,2.49,0.08,No,Weight Captured Separately,Freight Included in Commodity Cost,14.64
5044,116-ZA-T01,Pre-PQ Process,SCMS-41080,ASN-3637,South Africa,PMO - US,Direct Drop,DDP,Air,Pre-PQ Process,Date Not Captured,26-May-09,22-Jan-09,22-Jan-09,ARV,Pediatric,"Efavirenz 50mg, capsule, 30 Caps",Efavirenz,50mg,Capsule,30,500,1530.0,3.06,0.1,No,Weight Captured Separately,Freight Included in Commodity Cost,3.0
5045,116-ZA-T01,Pre-PQ Process,SCMS-41140,ASN-3752,South Africa,PMO - US,Direct Drop,DDP,Air,Pre-PQ Process,Date Not Captured,31-Mar-09,21-Nov-08,21-Nov-08,ARV,Adult,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,600mg,Tablet,30,1200,14532.0,12.11,0.4,No,Weight Captured Separately,Freight Included in Commodity Cost,28.48
5046,116-ZA-T01,Pre-PQ Process,SCMS-41140,ASN-3752,South Africa,PMO - US,Direct Drop,DDP,Air,Pre-PQ Process,Date Not Captured,31-Mar-09,21-Nov-08,21-Nov-08,ARV,Adult,"Tenofovir Disoproxil Fumarate 300mg [Viread], tablets, 30 Tabs",Tenofovir Disoproxil Fumarate,300mg,Tablet,30,500,8820.0,17.64,0.59,No,Weight Captured Separately,Freight Included in Commodity Cost,17.29
5047,116-ZA-T01,Pre-PQ Process,SCMS-41140,ASN-3752,South Africa,PMO - US,Direct Drop,DDP,Air,Pre-PQ Process,Date Not Captured,31-Mar-09,21-Nov-08,21-Nov-08,ARV,Adult,"Emtricitabine/Tenofovir Disoproxil Fumarate 200/300mg [Truvada], tablets, 30 Tabs",Emtricitabine/Tenofovir Disoproxil Fumarate,300/200mg,Tablet - FDC,30,80,2336.0,29.2,0.97,No,Weight Captured Separately,Freight Included in Commodity Cost,4.58
5048,116-ZA-T01,Pre-PQ Process,SCMS-41150,ASN-3759,South Africa,PMO - US,Direct Drop,DDP,Air,Pre-PQ Process,Date Not Captured,1-Apr-09,21-Nov-08,21-Nov-08,ARV,Pediatric,"Ritonavir 80mg/ml [Norvir], oral solution, cool, Bottle, 90 ml",Ritonavir,80mg/ml,Oral solution,90,1,5.97,5.97,0.07,Yes,Weight Captured Separately,Freight Included in Commodity Cost,0.01
5049,116-ZA-T01,Pre-PQ Process,SCMS-41160,ASN-3760,South Africa,PMO - US,Direct Drop,DDP,Air,Pre-PQ Process,Date Not Captured,1-Apr-09,26-Nov-08,26-Nov-08,ARV,Adult,"Zidovudine 300mg [Retrovir], tablets, 60 Tabs",Zidovudine,300mg,Tablet,60,500,6555.0,13.11,0.22,Yes,Weight Captured Separately,1521.4,12.85
5050,116-ZA-T01,Pre-PQ Process,SCMS-41180,ASN-3778,South Africa,PMO - US,Direct Drop,DDP,Air,Pre-PQ Process,Date Not Captured,3-Apr-09,11-Feb-09,11-Feb-09,ARV,Adult,"Stavudine 20mg [Zerit], capsules, 60 Caps",Stavudine,20mg,Capsule,60,300,1179.0,3.93,0.07,Yes,Weight Captured Separately,Freight Included in Commodity Cost,2.31
5051,116-ZA-T01,Pre-PQ Process,SCMS-41190,ASN-3732,South Africa,PMO - US,Direct Drop,DDP,Air,Pre-PQ Process,Date Not Captured,30-Mar-09,21-Jan-09,21-Jan-09,ARV,Pediatric,"Efavirenz 50mg [Stocrin/Sustiva], capsule, 30 Caps",Efavirenz,50mg,Capsule,30,80,188.8,2.36,0.08,No,Weight Captured Separately,Freight Included in Commodity Cost,0.37
5052,116-ZA-T01,Pre-PQ Process,SCMS-41190,ASN-3732,South Africa,PMO - US,Direct Drop,DDP,Air,Pre-PQ Process,Date Not Captured,30-Mar-09,21-Jan-09,21-Jan-09,ARV,Adult,"Saquinavir 200mg [Invirase], capsules, 270 Caps",Saquinavir,200mg,Capsule,270,28,1578.92,56.39,0.21,No,Weight Captured Separately,Freight Included in Commodity Cost,3.09
5053,116-ZA-T01,Pre-PQ Process,SCMS-41190,ASN-3732,South Africa,PMO - US,Direct Drop,DDP,Air,Pre-PQ Process,Date Not Captured,30-Mar-09,21-Jan-09,21-Jan-09,ARV,Pediatric,"Efavirenz 200mg [Stocrin/Sustiva], capsule, 90 Caps",Efavirenz,200mg,Capsule,90,30,829.5,27.65,0.31,No,Weight Captured Separately,Freight Included in Commodity Cost,1.63
5058,116-ZA-T01,Pre-PQ Process,SCMS-41465,ASN-4614,South Africa,PMO - US,Direct Drop,DDP,Air,Pre-PQ Process,3/18/2009,25-Jun-09,25-Jun-09,25-Jun-09,ARV,Pediatric,"Lamivudine 10mg/ml, oral solution, Bottle, 240 ml",Lamivudine,10mg/ml,Oral solution,240,108,610.2,5.65,0.02,Yes,Weight Captured Separately,Freight Included in Commodity Cost,1.2
5059,116-ZA-T01,Pre-PQ Process,SCMS-41586,ASN-4387,South Africa,PMO - US,Direct Drop,DDP,Air,Pre-PQ Process,3/27/2009,25-Jun-09,15-Apr-09,15-Apr-09,ARV,Adult,"Lamivudine 150mg, tablets, 60 Tabs",Lamivudine,150mg,Tablet,60,9620,68109.6,7.08,0.12,Yes,Weight Captured Separately,Freight Included in Commodity Cost,133.49
5066,144-BW-T01,Pre-PQ Process,SCMS-41890,ASN-3780,Botswana,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,3/25/2009,17-Apr-09,17-Apr-09,17-Apr-09,HRDT,HIV test,"HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit, 100 Tests","HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit",,Test kit,100,20,7000.0,350.0,3.5,Yes,48,1119.99,13.72
5076,116-ZA-T01,Pre-PQ Process,SCMS-42260,ASN-4333,South Africa,PMO - US,Direct Drop,DDP,Truck,Pre-PQ Process,4/2/2009,21-Apr-09,17-Apr-09,17-Apr-09,ARV,Adult,"Tenofovir Disoproxil Fumarate 300mg [Viread], tablets, 30 Tabs",Tenofovir Disoproxil Fumarate,300mg,Tablet,30,250,5315.0,21.26,0.71,Yes,Weight Captured Separately,Freight Included in Commodity Cost,10.42
5081,116-ZA-T01,Pre-PQ Process,SCMS-42430,ASN-4226,South Africa,PMO - US,Direct Drop,DDP,Truck,Pre-PQ Process,Date Not Captured,15-May-09,15-May-09,15-May-09,ARV,Pediatric,"Efavirenz 200mg [Stocrin/Sustiva], capsule, 90 Caps",Efavirenz,200mg,Capsule,90,100,3220.0,32.2,0.36,Yes,Weight Captured Separately,Freight Included in Commodity Cost,6.31
5083,116-ZA-T01,Pre-PQ Process,SCMS-47380,ASN-4285,South Africa,PMO - US,Direct Drop,DDP,Truck,Pre-PQ Process,4/2/2009,15-May-09,21-Apr-09,21-Apr-09,ARV,Adult,"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Lopinavir/Ritonavir,200/50mg,Tablet,120,400,14400.0,36.0,0.3,Yes,Weight Captured Separately,Freight Included in Commodity Cost,28.22
5113,107-RW-T01,Pre-PQ Process,SCMS-43900,ASN-4553,Rwanda,PMO - US,Direct Drop,CIP,Air,Pre-PQ Process,7/15/2009,12-Aug-09,12-Aug-09,12-Aug-09,ARV,Adult,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,600mg,Tablet,30,28034,195677.32,6.98,0.23,Yes,2268,19023.36,383.53
5114,123-NG-T01,Pre-PQ Process,SCMS-43960,ASN-4533,Nigeria,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,4/10/2009,3-Sep-09,3-Sep-09,3-Sep-09,ACT,ACT,"Artemether/Lumefantrine 20/120mg [Coartem], scored tablets, Blister 30 x 18 Tabs",Artemether/Lumefantrine,20/120mg,Tablet - FDC + blister,540,2000,70420.0,35.21,0.07,Yes,1250,17170.07,138.02
5119,104-CI-T01,Pre-PQ Process,SCMS-44050,ASN-3985,Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,4/15/2009,10-Jun-09,9-Jun-09,9-Jun-09,HRDT,HIV test,"#108853** HIV, Genie II HIV-1/HIV-2 Kit, 40 Tests","HIV, Genie II HIV-1/HIV-2 Kit",,Test kit,40,476,52360.0,110.0,2.75,Yes,534,9471.52,102.63
5120,104-CI-T01,Pre-PQ Process,SCMS-44050,ASN-4095,Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,4/15/2009,10-Jun-09,17-Jun-09,17-Jun-09,HRDT,HIV test,"#108853** HIV, Genie II HIV-1/HIV-2 Kit, 40 Tests","HIV, Genie II HIV-1/HIV-2 Kit",,Test kit,40,18,1980.0,110.0,2.75,Yes,20,2199.43,3.88
5147,119-NA-T01,Pre-PQ Process,SCMS-44970,ASN-4081,Namibia,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,4/29/2009,27-May-09,27-May-09,27-May-09,HRDT,HIV test,"HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",,Test kit,20,6760,216320.0,32.0,1.6,Yes,2261,17643.81,423.99
5175,109-TZ-T01,Pre-PQ Process,SCMS-46500,ASN-4223,Tanzania,PMO - US,Direct Drop,FCA,Air,Pre-PQ Process,5/28/2009,30-Jul-09,30-Jul-09,30-Jul-09,ARV,Adult,"Saquinavir 200mg [Invirase], capsules, 270 Caps",Saquinavir,200mg,Capsule,270,820,73074.13,89.11,0.33,Yes,424,3310.89,143.23
5194,116-ZA-T01,Pre-PQ Process,SCMS-47050,ASN-4819,South Africa,PMO - US,Direct Drop,DDP,Truck,Pre-PQ Process,6/5/2009,12-Oct-09,21-Jul-09,21-Jul-09,ARV,Adult,"Abacavir 300mg [Ziagen], tablets, Blister 6 x 10 Tabs",Abacavir,300mg,Tablet - blister,60,30,1081.8,36.06,0.6,No,Weight Captured Separately,Freight Included in Commodity Cost,2.12
5195,116-ZA-T01,Pre-PQ Process,SCMS-47051,ASN-4836,South Africa,PMO - US,Direct Drop,DDP,Truck,Pre-PQ Process,6/5/2009,12-Oct-09,28-Jul-09,28-Jul-09,ARV,Adult,"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Lopinavir/Ritonavir,200/50mg,Tablet,120,200,8396.0,41.98,0.35,No,Weight Captured Separately,Freight Included in Commodity Cost,16.46
5199,141-NA-T01,Pre-PQ Process,SCMS-47160,ASN-4663,Namibia,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,6/4/2009,1-Sep-09,1-Sep-09,1-Sep-09,HRDT,HIV test,"HIV 1/2, Clearview Complete Kit, 25 Tests","HIV 1/2, Clearview Complete Kit",,Test kit,25,4,300.0,75.0,3.0,Yes,4,133.25,0.59
5201,104-CI-T01,Pre-PQ Process,SCMS-42241,ASN-4812,Côte d'Ivoire,PMO - US,Direct Drop,CIP,Air,Pre-PQ Process,3/30/2009,15-Sep-09,15-Sep-09,15-Sep-09,ARV,Pediatric,"Lopinavir/Ritonavir 80/20mg/ml [Kaletra], oral solution, cool, Bottle 5 x 60 ml",Lopinavir/Ritonavir,80/20mg/ml,Oral solution,300,20,822.0,41.1,0.14,Yes,Weight Captured Separately,Freight Included in Commodity Cost,1.61
5233,100-CI-T01,Pre-PQ Process,SCMS-3,ASN-6,Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,Date Not Captured,2-May-06,2-May-06,2-May-06,HRDT,HIV test,"HIV 1/2, Bioline 3.0 Kit, (no accessories), 30 Tests","HIV 1/2, Bioline 3.0 Kit (no accessories)",,Test kit,30,31,734.7,23.7,0.79,Yes,11,515.32,
5243,104-CI-T01,Pre-PQ Process,SCMS-40,ASN-26,Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,Date Not Captured,8-Aug-06,8-Aug-06,8-Aug-06,HRDT,HIV test,"HIV, Reveal G3 Rapid HIV-1 Antibody Test, 30 Tests","HIV, Reveal G3 Rapid HIV-1 Antibody Test",,Test kit,30,19,551.0,29.0,0.97,Yes,13,859.53,
5249,108-VN-T01,Pre-PQ Process,SCMS-79,ASN-53,Vietnam,PMO - US,Direct Drop,CIP,Air,Pre-PQ Process,Date Not Captured,15-Sep-06,15-Sep-06,15-Sep-06,ARV,Adult,"Lopinavir/Ritonavir 133.3/33.3mg [Kaletra], capsules, cool, 2 x 90 Caps",Lopinavir/Ritonavir,133.3/33.3mg,Capsule,180,198,35802.36,180.82,1.0,Yes,389,7286.16,
5253,112-NG-T01,Pre-PQ Process,SCMS-87,ASN-57,Nigeria,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,Date Not Captured,28-Sep-06,28-Sep-06,28-Sep-06,ARV,Pediatric,"Nevirapine 10mg/ml, oral suspension, Bottle, 240 ml",Nevirapine,10mg/ml,Oral suspension,240,416,2579.2,6.2,0.03,No,See ASN-57 (ID#:23),See ASN-57 (ID#:23),
5260,104-CI-T01,Pre-PQ Process,SCMS-103,ASN-61,Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,Date Not Captured,6-Sep-06,6-Sep-06,6-Sep-06,ARV,Adult,"Lamivudine 150mg, tablets, 60 Tabs",Lamivudine,150mg,Tablet,60,16683,65897.85,3.95,0.07,Yes,1498,20257.08,
5261,104-CI-T01,Pre-PQ Process,SCMS-103,ASN-61,Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,Date Not Captured,6-Sep-06,6-Sep-06,6-Sep-06,ARV,Adult,"Stavudine 30mg, capsules, 60 Caps",Stavudine,30mg,Capsule,60,9321,29361.15,3.15,0.05,No,See ASN-61 (ID#:5260),See ASN-61 (ID#:5260),
5268,105-GY-T01,Pre-PQ Process,SCMS-122,ASN-116,Guyana,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,Date Not Captured,25-Dec-06,25-Dec-06,25-Dec-06,ARV,Adult,"Stavudine 15mg, capsules, 60 Caps",Stavudine,15mg,Capsule,60,602,1414.7,2.35,0.04,Yes,37,569.52,
5277,114-UG-T01,Pre-PQ Process,SCMS-159,ASN-125,Uganda,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,Date Not Captured,22-Dec-06,22-Dec-06,22-Dec-06,ARV,Adult,"Lamivudine 150mg, tablets, 60 Tabs",Lamivudine,150mg,Tablet,60,6349,21269.15,3.35,0.06,Yes,369,2623.49,
5278,110-ZM-T01,Pre-PQ Process,SCMS-163,ASN-123,Zambia,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,Date Not Captured,20-Dec-06,20-Dec-06,20-Dec-06,ARV,Adult,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,200mg,Tablet,60,33333,120332.13,3.61,0.06,No,See ASN-123 (ID#:2685),See ASN-123 (ID#:2685),
5279,108-VN-T01,Pre-PQ Process,SCMS-167,ASN-270,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,11/14/2006,14-Mar-07,14-Mar-07,14-Mar-07,ARV,Adult,"Lamivudine 150mg, tablets, 60 Tabs",Lamivudine,150mg,Tablet,60,98400,329640.0,3.35,0.06,Yes,4300,27923.26,
5280,108-VN-T01,Pre-PQ Process,SCMS-476,ASN-387,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,11/14/2006,14-Mar-07,16-May-07,16-May-07,ARV,Pediatric,"Didanosine 100mg, chewable/dispersible tablets, 60 Tabs",Didanosine,100mg,Chewable/dispersible tablet,60,1700,17850.0,10.5,0.18,Yes,356,14982.1,
5281,108-VN-T01,Pre-PQ Process,SCMS-168,ASN-276,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,11/14/2006,14-Mar-07,14-Mar-07,14-Mar-07,ARV,Adult,"Abacavir 300mg, tablets, 60 Tabs",Abacavir,300mg,Tablet,60,700,30835.0,44.05,0.73,No,See ASN-276 (ID#:2686),See ASN-276 (ID#:2686),
5282,108-VN-T01,Pre-PQ Process,SCMS-168,ASN-276,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,11/14/2006,14-Mar-07,14-Mar-07,14-Mar-07,ARV,Adult,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,600mg,Tablet,30,38300,641525.0,16.75,0.56,No,See ASN-276 (ID#:2686),See ASN-276 (ID#:2686),
5283,108-VN-T01,Pre-PQ Process,SCMS-172,ASN-302,Vietnam,PMO - US,Direct Drop,CIP,Air,Pre-PQ Process,11/29/2006,16-Apr-07,16-Apr-07,16-Apr-07,ARV,Adult,"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Lopinavir/Ritonavir,200/50mg,Tablet,120,1320,238682.4,180.82,1.51,Yes,304,13453.12,
